时间/h,烘房温度/℃,外界水分浓度/(kg/kg)
0.0,28.0,0.01963
0.016666666666666666,28.528,0.02002
0.03333333333333333,29.192,0.02053
0.05,29.684,0.021
0.06666666666666667,30.037,0.02151
0.08333333333333333,30.834,0.02191
0.1,31.293,0.02233
0.11666666666666667,31.82,0.02278
0.13333333333333333,32.121,0.02325
0.15,32.73,0.02377
0.16666666666666666,33.202,0.02428
0.18333333333333332,33.879,0.02465
0.2,34.268,0.02506
0.21666666666666667,34.806,0.02552
0.23333333333333334,35.142,0.02612
0.25,35.524,0.0266
0.26666666666666666,36.091,0.02687
0.2833333333333333,36.354,0.02732
0.3,37.067,0.02793
0.31666666666666665,37.419,0.02826
0.3333333333333333,37.882,0.02891
0.35,38.134,0.02921
0.36666666666666664,38.767,0.02961
0.38333333333333336,39.125,0.03029
0.4,39.458,0.03051
0.4166666666666667,39.595,0.03098
0.43333333333333335,40.061,0.03137
0.45,40.238,0.03179
0.4666666666666667,40.621,0.03219
0.48333333333333334,41.166,0.03262
0.5,41.513,0.03307
0.5166666666666667,41.918,0.03345
0.5333333333333333,41.952,0.03403
0.55,42.263,0.03447
0.5666666666666667,42.589,0.03476
0.5833333333333334,42.745,0.03513
0.6,42.985,0.03558
0.6166666666666667,43.393,0.03609
0.6333333333333333,43.534,0.03646
0.65,43.97,0.03653
0.6666666666666666,44.102,0.03694
0.6833333333333333,44.503,0.03731
0.7,44.663,0.03766
0.7166666666666667,44.701,0.03812
0.7333333333333333,45.138,0.0384
0.75,45.323,0.03858
0.7666666666666667,45.324,0.03903
0.7833333333333333,45.462,0.0394
0.8,45.818,0.03954
0.8166666666666667,45.739,0.04013
0.8333333333333334,45.93,0.04011
0.85,45.999,0.04076
0.8666666666666667,46.512,0.0407
0.8833333333333333,46.602,0.04128
0.9,46.761,0.04157
0.9166666666666666,46.933,0.04187
0.9333333333333333,46.912,0.04205
0.95,47.089,0.04229
0.9666666666666667,47.008,0.04247
0.9833333333333333,47.111,0.04277
1.0,47.485,0.04272
1.0166666666666666,47.498,0.04312
1.0333333333333334,47.646,0.04333
1.05,47.84,0.04369
1.0666666666666667,47.873,0.04373
1.0833333333333333,47.926,0.04389
1.1,48.016,0.0442
1.1166666666666667,47.977,0.04422
1.1333333333333333,47.926,0.04435
1.15,48.199,0.04468
1.1666666666666667,48.166,0.04483
1.1833333333333333,48.331,0.04491
1.2,48.615,0.04514
1.2166666666666666,48.38,0.0453
1.2333333333333334,48.357,0.04543
1.25,48.526,0.04561
1.2666666666666666,48.59,0.04589
1.2833333333333334,48.825,0.04585
1.3,48.827,0.04629
1.3166666666666667,48.988,0.04641
1.3333333333333333,48.979,0.04633
1.35,48.9,0.04639
1.3666666666666667,49.144,0.0466
1.3833333333333333,48.87,0.04687
1.4,48.84,0.04689
1.4166666666666667,48.913,0.04707
1.4333333333333333,49.261,0.04705
1.45,49.169,0.0472
1.4666666666666666,49.056,0.04713
1.4833333333333334,49.257,0.04744
1.5,49.116,0.04728
1.5166666666666666,49.415,0.0476
1.5333333333333334,49.321,0.04777
1.55,49.317,0.04751
1.5666666666666667,49.304,0.04782
1.5833333333333333,49.492,0.04765
1.6,49.384,0.04802
1.6166666666666667,49.272,0.04779
1.6333333333333333,49.31,0.04827
1.65,49.749,0.04795
1.6666666666666667,49.743,0.04841
1.6833333333333333,49.66,0.0484
1.7,49.463,0.04836
1.7166666666666666,49.83,0.04851
1.7333333333333334,49.753,0.04858
1.75,49.739,0.04871
1.7666666666666666,49.622,0.04842
1.7833333333333334,49.55,0.04864
1.8,49.477,0.04845
1.8166666666666667,49.891,0.04875
1.8333333333333333,49.683,0.04858
1.85,49.569,0.04882
1.8666666666666667,49.633,0.04886
1.8833333333333333,49.781,0.04885
1.9,49.592,0.04892
1.9166666666666667,49.941,0.04908
1.9333333333333333,49.902,0.04913
1.95,49.892,0.04902
1.9666666666666666,49.759,0.04911
1.9833333333333334,49.865,0.0493
2.0,49.852,0.04894
2.0166666666666666,49.893,0.04897
2.033333333333333,49.619,0.04898
2.05,49.792,0.04929
2.066666666666667,49.612,0.0492
2.0833333333333335,49.845,0.04941
2.1,49.77,0.04938
2.1166666666666667,49.683,0.04924
2.1333333333333333,49.669,0.04954
2.15,49.916,0.0495
2.1666666666666665,49.714,0.04928
2.183333333333333,50.095,0.04935
2.2,49.929,0.04934
2.216666666666667,49.817,0.04929
2.2333333333333334,49.943,0.0493
2.25,49.664,0.04971
2.2666666666666666,50.135,0.04948
2.283333333333333,49.902,0.04947
2.3,50.056,0.04966
2.316666666666667,49.71,0.04959
2.3333333333333335,49.915,0.0498
2.35,49.92,0.04973
2.3666666666666667,50.147,0.0496
2.3833333333333333,49.967,0.04956
2.4,49.921,0.04988
2.4166666666666665,49.821,0.04976
2.433333333333333,49.856,0.04989
2.45,49.953,0.04949
2.466666666666667,49.915,0.04986
2.4833333333333334,49.708,0.04977
2.5,50.163,0.04981
2.5166666666666666,50.198,0.05004
2.533333333333333,49.82,0.05009
2.55,50.027,0.04976
2.566666666666667,49.804,0.04998
2.5833333333333335,50.086,0.05016
2.6,49.891,0.0499
2.6166666666666667,50.08,0.04998
2.6333333333333333,50.113,0.04997
2.65,50.134,0.0499
2.6666666666666665,49.804,0.05021
2.683333333333333,50.208,0.05014
2.7,49.865,0.04981
2.716666666666667,49.769,0.05025
2.7333333333333334,50.027,0.05019
2.75,49.935,0.04989
2.7666666666666666,50.165,0.05017
2.783333333333333,50.154,0.0498
2.8,49.909,0.05025
2.816666666666667,50.226,0.05008
2.8333333333333335,49.895,0.05008
2.85,50.008,0.0498
2.8666666666666667,49.878,0.0502
2.8833333333333333,50.218,0.04976
2.9,49.832,0.04987
2.9166666666666665,49.772,0.04982
2.933333333333333,49.968,0.05014
2.95,50.246,0.04985
2.966666666666667,50.196,0.05021
2.9833333333333334,50.124,0.05008
3.0,50.195,0.04977
3.0166666666666666,50.197,0.04975
3.033333333333333,50.009,0.04978
3.05,49.908,0.05005
3.066666666666667,50.136,0.05015
3.0833333333333335,50.081,0.04987
3.1,49.937,0.05017
3.1166666666666667,49.797,0.04978
3.1333333333333333,50.123,0.05015
3.15,49.881,0.05021
3.1666666666666665,50.218,0.05014
3.183333333333333,49.87,0.0501
3.2,49.811,0.05017
3.216666666666667,50.166,0.04977
3.2333333333333334,49.827,0.04985
3.25,49.84,0.04981
3.2666666666666666,50.05,0.05
3.283333333333333,50.187,0.05012
3.3,49.848,0.05007
3.316666666666667,49.905,0.05018
3.3333333333333335,50.139,0.04983
3.35,50.236,0.05012
3.3666666666666667,50.0,0.04985
3.3833333333333333,49.822,0.04989
3.4,49.757,0.0501
3.4166666666666665,49.865,0.05024
3.433333333333333,49.816,0.05006
3.45,50.089,0.04978
3.466666666666667,49.811,0.05006
3.4833333333333334,50.003,0.04977
3.5,50.097,0.05019
3.5166666666666666,50.041,0.0501
3.533333333333333,49.85,0.04984
3.55,50.152,0.0498
3.566666666666667,50.108,0.04984
3.5833333333333335,50.119,0.05024
3.6,49.816,0.04998
3.6166666666666667,49.812,0.05014
3.6333333333333333,50.214,0.05007
3.65,49.949,0.05004
3.6666666666666665,49.9,0.04982
3.683333333333333,49.994,0.05022
3.7,50.081,0.0499
3.716666666666667,50.228,0.05004
3.7333333333333334,49.893,0.0501
3.75,50.212,0.05007
3.7666666666666666,49.762,0.05022
3.783333333333333,50.028,0.04982
3.8,50.067,0.05
3.816666666666667,49.803,0.04995
3.8333333333333335,49.82,0.04999
3.85,49.96,0.04981
3.8666666666666667,50.233,0.04982
3.8833333333333333,50.048,0.04989
3.9,50.217,0.0499
3.9166666666666665,50.152,0.04996
3.933333333333333,49.984,0.05006
3.95,50.142,0.05007
3.966666666666667,49.759,0.04996
3.9833333333333334,49.805,0.04995
4.0,50.165,0.04986
