时间/min,到中心距离/cm,温度/℃,水分浓度/(kg/kg)
0.00000000,0.00000000,28.00000000,2.55000000
0.00000000,0.10000000,28.00000000,2.55000000
0.00000000,0.20000000,28.00000000,2.55000000
0.00000000,0.30000000,28.00000000,2.55000000
0.00000000,0.40000000,28.00000000,2.55000000
0.00000000,0.50000000,28.00000000,2.55000000
0.00000000,0.60000000,28.00000000,2.55000000
0.00000000,0.70000000,28.00000000,2.55000000
0.00000000,0.80000000,28.00000000,2.55000000
0.00000000,0.90000000,28.00000000,2.55000000
0.00000000,1.00000000,28.00000000,2.55000000
0.00000000,1.10000000,28.00000000,2.55000000
0.00000000,1.20000000,28.00000000,2.55000000
0.00000000,1.30000000,28.00000000,2.55000000
0.00000000,1.40000000,28.00000000,2.55000000
0.00000000,1.50000000,28.00000000,2.55000000
0.00000000,1.60000000,28.00000000,2.55000000
0.00000000,1.70000000,28.00000000,2.55000000
0.00000000,1.80000000,28.00000000,2.55000000
0.00000000,1.90000000,28.00000000,2.55000000
0.00000000,2.00000000,28.00000000,2.55000000
5.00000000,0.00000000,28.04079134,2.55000000
5.00000000,0.10000000,28.04163680,2.55000000
5.00000000,0.20000000,28.04420428,2.55000000
5.00000000,0.30000000,28.04858725,2.55000000
5.00000000,0.40000000,28.05494197,2.55000000
5.00000000,0.50000000,28.06348819,2.55000000
5.00000000,0.60000000,28.07451006,2.55000000
5.00000000,0.70000000,28.08835761,2.55000000
5.00000000,0.80000000,28.10544873,2.55000000
5.00000000,0.90000000,28.12627253,2.55000000
5.00000000,1.00000000,28.15139454,2.55000000
5.00000000,1.10000000,28.18146511,2.54999997
5.00000000,1.20000000,28.21723199,2.54999941
5.00000000,1.30000000,28.25955816,2.54999116
5.00000000,1.40000000,28.30944563,2.54990213
5.00000000,1.50000000,28.36806457,2.54919718
5.00000000,1.60000000,28.43678616,2.54508771
5.00000000,1.70000000,28.51721560,2.52734285
5.00000000,1.80000000,28.61122075,2.46992299
5.00000000,1.90000000,28.72095021,2.32789153
5.00000000,2.00000000,28.84883360,2.05088812
10.00000000,0.00000000,28.45333081,2.55000000
10.00000000,0.10000000,28.45657507,2.55000000
10.00000000,0.20000000,28.46633978,2.55000000
10.00000000,0.30000000,28.48272068,2.55000000
10.00000000,0.40000000,28.50587703,2.55000000
10.00000000,0.50000000,28.53603128,2.55000000
10.00000000,0.60000000,28.57346878,2.55000000
10.00000000,0.70000000,28.61853741,2.54999997
10.00000000,0.80000000,28.67164748,2.54999977
10.00000000,0.90000000,28.73327156,2.54999824
10.00000000,1.00000000,28.80394424,2.54998853
10.00000000,1.10000000,28.88426142,2.54993554
10.00000000,1.20000000,28.97487882,2.54968801
10.00000000,1.30000000,29.07650922,2.54869737
10.00000000,1.40000000,29.18991814,2.54529753
10.00000000,1.50000000,29.31591739,2.53527218
10.00000000,1.60000000,29.45535663,2.50978501
10.00000000,1.70000000,29.60911397,2.45360842
10.00000000,1.80000000,29.77808860,2.34534829
10.00000000,1.90000000,29.96319884,2.16071036
10.00000000,2.00000000,30.16539461,1.87698900
15.00000000,0.00000000,29.32430208,2.55000000
15.00000000,0.10000000,29.32960892,2.55000000
15.00000000,0.20000000,29.34555544,2.55000000
15.00000000,0.30000000,29.37221921,2.54999999
15.00000000,0.40000000,29.40972835,2.54999996
15.00000000,0.50000000,29.45825978,2.54999979
15.00000000,0.60000000,29.51803663,2.54999893
15.00000000,0.70000000,29.58932488,2.54999487
15.00000000,0.80000000,29.67242912,2.54997768
15.00000000,0.90000000,29.76768760,2.54991177
15.00000000,1.00000000,29.87546648,2.54968324
15.00000000,1.10000000,29.99615365,2.54896727
15.00000000,1.20000000,30.13015239,2.54694055
15.00000000,1.30000000,30.27787507,2.54175483
15.00000000,1.40000000,30.43973732,2.52974822
15.00000000,1.50000000,30.61615276,2.50454222
15.00000000,1.60000000,30.80752861,2.45640851
15.00000000,1.70000000,31.01426296,2.37240813
15.00000000,1.80000000,31.23674516,2.23756866
15.00000000,1.90000000,31.47536014,2.03664929
15.00000000,2.00000000,31.73049728,1.75472976
20.00000000,0.00000000,30.54273429,2.54999998
20.00000000,0.10000000,30.54937904,2.54999996
20.00000000,0.20000000,30.56933198,2.54999987
20.00000000,0.30000000,30.60264909,2.54999950
20.00000000,0.40000000,30.64942344,2.54999808
20.00000000,0.50000000,30.70978475,2.54999296
20.00000000,0.60000000,30.78389865,2.54997559
20.00000000,0.70000000,30.87196543,2.54992060
20.00000000,0.80000000,30.97421842,2.54975835
20.00000000,0.90000000,31.09092169,2.54931322
