时间/h,到中心距离/cm,温度/℃,水分浓度/(kg/kg),扩散系数/(m2/s)
0.0000000000e+00,0.0000000000e+00,2.8000000000e+01,2.5500000000e+00,5.6416803730e-09
0.0000000000e+00,1.0000000000e-01,2.8000000000e+01,2.5500000000e+00,5.6416803730e-09
0.0000000000e+00,2.0000000000e-01,2.8000000000e+01,2.5500000000e+00,5.6416803730e-09
0.0000000000e+00,3.0000000000e-01,2.8000000000e+01,2.5500000000e+00,5.6416803730e-09
0.0000000000e+00,4.0000000000e-01,2.8000000000e+01,2.5500000000e+00,5.6416803730e-09
0.0000000000e+00,5.0000000000e-01,2.8000000000e+01,2.5500000000e+00,5.6416803730e-09
0.0000000000e+00,6.0000000000e-01,2.8000000000e+01,2.5500000000e+00,5.6416803730e-09
0.0000000000e+00,7.0000000000e-01,2.8000000000e+01,2.5500000000e+00,5.6416803730e-09
0.0000000000e+00,8.0000000000e-01,2.8000000000e+01,2.5500000000e+00,5.6416803730e-09
0.0000000000e+00,9.0000000000e-01,2.8000000000e+01,2.5500000000e+00,5.6416803730e-09
0.0000000000e+00,1.0000000000e+00,2.8000000000e+01,2.5500000000e+00,5.6416803730e-09
0.0000000000e+00,1.1000000000e+00,2.8000000000e+01,2.5500000000e+00,5.6416803730e-09
0.0000000000e+00,1.2000000000e+00,2.8000000000e+01,2.5500000000e+00,5.6416803730e-09
0.0000000000e+00,1.3000000000e+00,2.8000000000e+01,2.5500000000e+00,5.6416803730e-09
0.0000000000e+00,1.4000000000e+00,2.8000000000e+01,2.5500000000e+00,5.6416803730e-09
0.0000000000e+00,1.5000000000e+00,2.8000000000e+01,2.5500000000e+00,5.6416803730e-09
0.0000000000e+00,1.6000000000e+00,2.8000000000e+01,2.5500000000e+00,5.6416803730e-09
0.0000000000e+00,1.7000000000e+00,2.8000000000e+01,2.5500000000e+00,5.6416803730e-09
0.0000000000e+00,1.8000000000e+00,2.8000000000e+01,2.5500000000e+00,5.6416803730e-09
0.0000000000e+00,1.9000000000e+00,2.8000000000e+01,2.5500000000e+00,5.6416803730e-09
0.0000000000e+00,2.0000000000e+00,2.8000000000e+01,2.5500000000e+00,5.6416803730e-09
5.0000000000e-01,0.0000000000e+00,3.2189250289e+01,2.5499339437e+00,6.7232937392e-09
5.0000000000e-01,1.0000000000e-01,3.2196950042e+01,2.5499175958e+00,6.7254241531e-09
5.0000000000e-01,2.0000000000e-01,3.2220056691e+01,2.5498589564e+00,6.7318163817e-09
5.0000000000e-01,3.0000000000e-01,3.2258592615e+01,2.5497248778e+00,6.7424713846e-09
5.0000000000e-01,4.0000000000e-01,3.2312595790e+01,2.5494445754e+00,6.7573835866e-09
5.0000000000e-01,5.0000000000e-01,3.2382120918e+01,2.5488830045e+00,6.7765284250e-09
5.0000000000e-01,6.0000000000e-01,3.2467241178e+01,2.5477977831e+00,6.7998418199e-09
5.0000000000e-01,7.0000000000e-01,3.2568050744e+01,2.5457761124e+00,6.8271892623e-09
5.0000000000e-01,8.0000000000e-01,3.2684668182e+01,2.5421509771e+00,6.8583228601e-09
5.0000000000e-01,9.0000000000e-01,3.2817240706e+01,2.5359019876e+00,6.8928262623e-09
5.0000000000e-01,1.0000000000e+00,3.2965949101e+01,2.5255554920e+00,6.9300495299e-09
5.0000000000e-01,1.1000000000e+00,3.3131012812e+01,2.5091093647e+00,6.9690376884e-09
5.0000000000e-01,1.2000000000e+00,3.3312694554e+01,2.4840165647e+00,7.0084563539e-09
5.0000000000e-01,1.3000000000e+00,3.3511303739e+01,2.4472633344e+00,7.0465141949e-09
5.0000000000e-01,1.4000000000e+00,3.3727198443e+01,2.3955684618e+00,7.0808748818e-09
5.0000000000e-01,1.5000000000e+00,3.3960786525e+01,2.3257078415e+00,7.1085416916e-09
5.0000000000e-01,1.6000000000e+00,3.4212528277e+01,2.2349367390e+00,7.1256876910e-09
5.0000000000e-01,1.7000000000e+00,3.4482945582e+01,2.1214490903e+00,7.1273940143e-09
5.0000000000e-01,1.8000000000e+00,3.4772644626e+01,1.9847933730e+00,7.1072488748e-09
5.0000000000e-01,1.9000000000e+00,3.5082360452e+01,1.8261767566e+00,7.0567594586e-09
5.0000000000e-01,2.0000000000e+00,3.5413033312e+01,1.6486167864e+00,6.9645422483e-09
1.0000000000e+00,0.0000000000e+00,4.0381556036e+01,2.5257343831e+00,9.3310500547e-09
1.0000000000e+00,1.0000000000e-01,4.0388464930e+01,2.5246503537e+00,9.3328612041e-09
1.0000000000e+00,2.0000000000e-01,4.0409177233e+01,2.5213202918e+00,9.3382356082e-09
1.0000000000e+00,3.0000000000e-01,4.0443649692e+01,2.5155115701e+00,9.3469951838e-09
1.0000000000e+00,4.0000000000e-01,4.0491809876e+01,2.5068411928e+00,9.3588400258e-09
1.0000000000e+00,5.0000000000e-01,4.0553555816e+01,2.4947841797e+00,9.3733439668e-09
1.0000000000e+00,6.0000000000e-01,4.0628755800e+01,2.4786876321e+00,9.3899486685e-09
1.0000000000e+00,7.0000000000e-01,4.0717248711e+01,2.4577921661e+00,9.4079563343e-09
1.0000000000e+00,8.0000000000e-01,4.0818845412e+01,2.4312620654e+00,9.4265209121e-09
1.0000000000e+00,9.0000000000e-01,4.0933331935e+01,2.3982247277e+00,9.4446373526e-09
1.0000000000e+00,1.0000000000e+00,4.1060475382e+01,2.3578188421e+00,9.4611281283e-09
1.0000000000e+00,1.1000000000e+00,4.1200033623e+01,2.3092493760e+00,9.4746258141e-09
1.0000000000e+00,1.2000000000e+00,4.1351769772e+01,2.2518460954e+00,9.4835500743e-09
1.0000000000e+00,1.3000000000e+00,4.1515472198e+01,2.1851211978e+00,9.4860768174e-09
1.0000000000e+00,1.4000000000e+00,4.1690980308e+01,2.1088208744e+00,9.4800964521e-09
1.0000000000e+00,1.5000000000e+00,4.1878215525e+01,2.0229652688e+00,9.4631567358e-09
