时间/h,药材半径/cm
0.00000000,2.00000000
0.01666667,1.99498733
0.03333333,1.99001680
0.05000000,1.98508967
0.06666667,1.98020717
0.08333333,1.97537055
0.10000000,1.97058105
0.11666667,1.96583991
0.13333333,1.96114838
0.15000000,1.95650769
0.16666667,1.95191909
0.18333333,1.94738383
0.20000000,1.94290315
0.21666667,1.93847828
0.23333333,1.93411047
0.25000000,1.92980097
0.26666667,1.92555102
0.28333333,1.92136185
0.30000000,1.91723472
0.31666667,1.91317086
0.33333333,1.90917152
0.35000000,1.90523794
0.36666667,1.90137137
0.38333333,1.89757304
0.40000000,1.89384419
0.41666667,1.89018608
0.43333333,1.88659995
0.45000000,1.88308703
0.46666667,1.87964857
0.48333333,1.87628581
0.50000000,1.87300000
0.51666667,1.86979929
0.53333333,1.86668745
0.55000000,1.86365916
0.56666667,1.86070908
0.58333333,1.85783189
0.60000000,1.85502225
0.61666667,1.85227484
0.63333333,1.84958433
0.65000000,1.84694538
0.66666667,1.84435266
0.68333333,1.84180085
0.70000000,1.83928462
0.71666667,1.83679864
0.73333333,1.83433757
0.75000000,1.83189609
0.76666667,1.82946886
0.78333333,1.82705057
0.80000000,1.82463587
0.81666667,1.82221943
0.83333333,1.81979594
0.85000000,1.81736005
0.86666667,1.81490644
0.88333333,1.81242978
0.90000000,1.80992474
0.91666667,1.80738599
0.93333333,1.80480819
0.95000000,1.80218602
0.96666667,1.79951416
0.98333333,1.79678726
1.00000000,1.79400000
1.01666667,1.79115923
1.03333333,1.78827734
1.05000000,1.78535731
1.06666667,1.78240212
1.08333333,1.77941476
1.10000000,1.77639821
1.11666667,1.77335546
1.13333333,1.77028948
1.15000000,1.76720326
1.16666667,1.76409978
1.18333333,1.76098203
1.20000000,1.75785299
1.21666667,1.75471564
1.23333333,1.75157296
1.25000000,1.74842794
1.26666667,1.74528356
1.28333333,1.74214281
1.30000000,1.73900866
1.31666667,1.73588410
1.33333333,1.73277211
1.35000000,1.72967568
1.36666667,1.72659779
1.38333333,1.72354142
1.40000000,1.72050955
1.41666667,1.71750517
1.43333333,1.71453127
1.45000000,1.71159081
1.46666667,1.70868679
1.48333333,1.70582220
1.50000000,1.70300000
1.51666667,1.70018225
1.53333333,1.69733235
1.55000000,1.69445537
1.56666667,1.69155635
1.58333333,1.68864035
1.60000000,1.68571242
1.61666667,1.68277761
1.63333333,1.67984098
1.65000000,1.67690758
1.66666667,1.67398246
1.68333333,1.67107067
1.70000000,1.66817726
1.71666667,1.66530730
1.73333333,1.66246582
1.75000000,1.65965789
1.76666667,1.65688856
1.78333333,1.65416288
1.80000000,1.65148589
1.81666667,1.64886267
1.83333333,1.64629825
1.85000000,1.64379768
1.86666667,1.64136604
1.88333333,1.63900835
1.90000000,1.63672968
1.91666667,1.63453509
1.93333333,1.63242961
1.95000000,1.63041832
1.96666667,1.62850625
1.98333333,1.62669846
2.00000000,1.62500000
2.01666667,1.62338741
2.03333333,1.62183180
2.05000000,1.62033012
2.06666667,1.61887932
2.08333333,1.61747633
2.10000000,1.61611810
2.11666667,1.61480157
2.13333333,1.61352368
2.15000000,1.61228138
2.16666667,1.61107162
2.18333333,1.60989132
2.20000000,1.60873745
2.21666667,1.60760693
2.23333333,1.60649672
2.25000000,1.60540375
2.26666667,1.60432497
2.28333333,1.60325732
2.30000000,1.60219775
2.31666667,1.60114320
2.33333333,1.60009060
2.35000000,1.59903691
2.36666667,1.59797907
2.38333333,1.59691402
2.40000000,1.59583870
2.41666667,1.59475006
2.43333333,1.59364504
2.45000000,1.59252058
2.46666667,1.59137362
2.48333333,1.59020112
2.50000000,1.58900000
2.51666667,1.58778497
2.53333333,1.58657248
2.55000000,1.58536213
2.56666667,1.58415351
2.58333333,1.58294620
2.60000000,1.58173981
2.61666667,1.58053393
2.63333333,1.57932814
