时间/h,到中心距离/cm,温度/℃,水分浓度/(kg/kg)
0.00000000,0.00000000,28.00000000,2.55000000
0.00000000,0.00936767,28.00000000,2.55000000
0.00000000,0.01872067,28.00000000,2.55000000
0.00000000,0.02805898,28.00000000,2.55000000
0.00000000,0.03738257,28.00000000,2.55000000
0.00000000,0.04669141,28.00000000,2.55000000
0.00000000,0.05598550,28.00000000,2.55000000
0.00000000,0.06526479,28.00000000,2.55000000
0.00000000,0.07452928,28.00000000,2.55000000
0.00000000,0.08377893,28.00000000,2.55000000
0.00000000,0.09301372,28.00000000,2.55000000
0.00000000,0.10223363,28.00000000,2.55000000
0.00000000,0.11143863,28.00000000,2.55000000
0.00000000,0.12062870,28.00000000,2.55000000
0.00000000,0.12980381,28.00000000,2.55000000
0.00000000,0.13896394,28.00000000,2.55000000
0.00000000,0.14810907,28.00000000,2.55000000
0.00000000,0.15723918,28.00000000,2.55000000
0.00000000,0.16635422,28.00000000,2.55000000
0.00000000,0.17545419,28.00000000,2.55000000
0.00000000,0.18453906,28.00000000,2.55000000
0.00000000,0.19360879,28.00000000,2.55000000
0.00000000,0.20266337,28.00000000,2.55000000
0.00000000,0.21170278,28.00000000,2.55000000
0.00000000,0.22072697,28.00000000,2.55000000
0.00000000,0.22973594,28.00000000,2.55000000
0.00000000,0.23872965,28.00000000,2.55000000
0.00000000,0.24770808,28.00000000,2.55000000
0.00000000,0.25667120,28.00000000,2.55000000
0.00000000,0.26561898,28.00000000,2.55000000
0.00000000,0.27455141,28.00000000,2.55000000
0.00000000,0.28346844,28.00000000,2.55000000
0.00000000,0.29237006,28.00000000,2.55000000
0.00000000,0.30125624,28.00000000,2.55000000
0.00000000,0.31012696,28.00000000,2.55000000
0.00000000,0.31898218,28.00000000,2.55000000
0.00000000,0.32782187,28.00000000,2.55000000
0.00000000,0.33664602,28.00000000,2.55000000
0.00000000,0.34545459,28.00000000,2.55000000
0.00000000,0.35424756,28.00000000,2.55000000
0.00000000,0.36302489,28.00000000,2.55000000
0.00000000,0.37178657,28.00000000,2.55000000
0.00000000,0.38053256,28.00000000,2.55000000
0.00000000,0.38926283,28.00000000,2.55000000
0.00000000,0.39797735,28.00000000,2.55000000
0.00000000,0.40667611,28.00000000,2.55000000
0.00000000,0.41535906,28.00000000,2.55000000
0.00000000,0.42402618,28.00000000,2.55000000
0.00000000,0.43267744,28.00000000,2.55000000
0.00000000,0.44131282,28.00000000,2.55000000
0.00000000,0.44993227,28.00000000,2.55000000
0.00000000,0.45853578,28.00000000,2.55000000
0.00000000,0.46712331,28.00000000,2.55000000
0.00000000,0.47569484,28.00000000,2.55000000
0.00000000,0.48425033,28.00000000,2.55000000
0.00000000,0.49278975,28.00000000,2.55000000
0.00000000,0.50131307,28.00000000,2.55000000
0.00000000,0.50982027,28.00000000,2.55000000
0.00000000,0.51831131,28.00000000,2.55000000
0.00000000,0.52678616,28.00000000,2.55000000
0.00000000,0.53524479,28.00000000,2.55000000
0.00000000,0.54368717,28.00000000,2.55000000
0.00000000,0.55211327,28.00000000,2.55000000
0.00000000,0.56052306,28.00000000,2.55000000
0.00000000,0.56891649,28.00000000,2.55000000
0.00000000,0.57729356,28.00000000,2.55000000
0.00000000,0.58565421,28.00000000,2.55000000
0.00000000,0.59399842,28.00000000,2.55000000
0.00000000,0.60232615,28.00000000,2.55000000
0.00000000,0.61063738,28.00000000,2.55000000
0.00000000,0.61893207,28.00000000,2.55000000
0.00000000,0.62721018,28.00000000,2.55000000
0.00000000,0.63547169,28.00000000,2.55000000
0.00000000,0.64371656,28.00000000,2.55000000
0.00000000,0.65194476,28.00000000,2.55000000
0.00000000,0.66015625,28.00000000,2.55000000
0.00000000,0.66835100,28.00000000,2.55000000
0.00000000,0.67652897,28.00000000,2.55000000
0.00000000,0.68469014,28.00000000,2.55000000
0.00000000,0.69283445,28.00000000,2.55000000
0.00000000,0.70096189,28.00000000,2.55000000
0.00000000,0.70907242,28.00000000,2.55000000
0.00000000,0.71716599,28.00000000,2.55000000
0.00000000,0.72524258,28.00000000,2.55000000
0.00000000,0.73330215,28.00000000,2.55000000
0.00000000,0.74134466,28.00000000,2.55000000
0.00000000,0.74937008,28.00000000,2.55000000
0.00000000,0.75737837,28.00000000,2.55000000
0.00000000,0.76536949,28.00000000,2.55000000
0.00000000,0.77334341,28.00000000,2.55000000
0.00000000,0.78130008,28.00000000,2.55000000
0.00000000,0.78923948,28.00000000,2.55000000
0.00000000,0.79716156,28.00000000,2.55000000
0.00000000,0.80506629,28.00000000,2.55000000
0.00000000,0.81295362,28.00000000,2.55000000
0.00000000,0.82082353,28.00000000,2.55000000
0.00000000,0.82867596,28.00000000,2.55000000
0.00000000,0.83651089,28.00000000,2.55000000
0.00000000,0.84432827,28.00000000,2.55000000
0.00000000,0.85212806,28.00000000,2.55000000
0.00000000,0.85991023,28.00000000,2.55000000
0.00000000,0.86767473,28.00000000,2.55000000
0.00000000,0.87542152,28.00000000,2.55000000
0.00000000,0.88315056,28.00000000,2.55000000
0.00000000,0.89086182,28.00000000,2.55000000
0.00000000,0.89855525,28.00000000,2.55000000
0.00000000,0.90623080,28.00000000,2.55000000
0.00000000,0.91388845,28.00000000,2.55000000
0.00000000,0.92152814,28.00000000,2.55000000
0.00000000,0.92914983,28.00000000,2.55000000
0.00000000,0.93675348,28.00000000,2.55000000
0.00000000,0.94433905,28.00000000,2.55000000
0.00000000,0.95190649,28.00000000,2.55000000
0.00000000,0.95945577,28.00000000,2.55000000
0.00000000,0.96698683,28.00000000,2.55000000
0.00000000,0.97449963,28.00000000,2.55000000
0.00000000,0.98199414,28.00000000,2.55000000
0.00000000,0.98947029,28.00000000,2.55000000
0.00000000,0.99692806,28.00000000,2.55000000
0.00000000,1.00436739,28.00000000,2.55000000
0.00000000,1.01178823,28.00000000,2.55000000
0.00000000,1.01919055,28.00000000,2.55000000
0.00000000,1.02657429,28.00000000,2.55000000
0.00000000,1.03393941,28.00000000,2.55000000
0.00000000,1.04128585,28.00000000,2.55000000
0.00000000,1.04861359,28.00000000,2.55000000
0.00000000,1.05592255,28.00000000,2.55000000
0.00000000,1.06321271,28.00000000,2.55000000
0.00000000,1.07048400,28.00000000,2.55000000
0.00000000,1.07773638,28.00000000,2.55000000
0.00000000,1.08496980,28.00000000,2.55000000
0.00000000,1.09218421,28.00000000,2.55000000
