时间/h,r=0 cm,r=0.5 cm,r=1 cm,r=1.5 cm,r=2 cm
6.00000000,1.01696113,0.98813173,0.90152360,0.75501009,0.53279176
12.00000000,0.45614518,0.44316070,0.40307431,0.32973931,0.16418935
18.00000000,0.29883962,0.29154902,0.26870972,0.22530119,0.08447720
24.00000000,0.23779734,0.23273755,0.21672460,0.18554980,0.06647358
30.00000000,0.20582246,0.20184384,0.18916663,0.16409229,0.05984061
36.00000000,0.18587682,0.18252896,0.17181081,0.15037563,0.05664825
42.00000000,0.17206545,0.16913194,0.15970713,0.14070278,0.05485300
48.00000000,0.16182706,0.15918795,0.15068566,0.13343099,0.05373480
54.00000000,0.15386684,0.15144873,0.14364112,0.12771366,0.05298620
57.47358707,0.15000000,0.14768666,0.14020910,0.12491536,0.05265949
